booking_id,charge_description,statute,crime_type,crime_class
20180103021,ROBBERY,720-5/18-1(A),F,2
20180103021,UNLAWFUL RESTRAINT,720-5/10-3,F,4
20180103022,AGG UUW/VEHICLE/LOADED/NO FCCA,720-5/24-1.6(a)(1),F,4
20180103022,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(a)(1),F,4
20180103022,ARMED HABITUAL CRIMINAL,720-5/24-1.7(A),F,X
20180103022,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180103022,FIREARM/FOID INVALID/NOT ELIG,430-65/2(a)(1),F,3
20180103022,MFG/DEL 1<15 GR COCAINE/ANLG,720-570/401(C)(2),F,1
20180103022,MFG/DEL 1<15 GR HEROIN/ANALOG,720-570/401(C)(1),F,1
20180103022,MFG/DEL CANNABIS/10-30 GRAMS,720-550/5(c),F,4
20180103027,AGG UUW/LOADED/NO FCCA/FO,720-5/24-1.6(A)(1),F,4
20180103027,AGG UUW/PERS/LOAD/NO FCCA/FOID,720-5/24-1.6(a)(2),F,4
20180103027,AGG UUW/PERSON/<21,720-5/24-1.6(a)(2),F,4
20180103027,AGG UUW/PERSON/LOADED/NO FCCA,720-5/24-1.6(a)(2),F,4
20180103027,AGG UUW/PERSON/NO FOID,720-5/24-1.6(a)(2),F,4
20180103027,AGG UUW/VEHICLE/<21,720-5/24-1.6(a)(1),F,4
20180103027,AGG UUW/VEHICLE/LOADED/NO,720-5/24-1.6(A)(1),F,4
20180103027,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180103027,ATTEMPT UUW,720/5/8-4,M,A
20180103027,OBSTRUCTING IDENTIFICATION,720-5/31-4.5-A,M,A
20180103027,ROBBERY,720-5/18-1-A,F,2
20180103032,PCS - POSSESS 100<400 GRA,720-570/402-A-,F,1
20180103036,AGG POSSESSION STOLEN MOT,625-5/4-103.2-,F,1
20180103036,AMT NARC SCHED I/II/SCH/HS/PK,720-570/407(B)(2),F,1
20180103036,IVC - AGG FLEEING/2+ CON DEVI,625-5/11-204.1-A-4,F,4
20180103036,IVC - AGG FLEEING/DAMAGE>$300,625-5/11-204.1-A-3,F,4
20180103036,OTHER AMT NARCOTIC SCHED I&II,720-570/401(D)(I),F,2
20180103036,POSS AMT CON SUB EXCEPT(A)/(D,720-570/402(C),F,4
20180103036,POSS AMT CON SUB EXCEPT(A)/(D),720 ILCS 570/402(c),F,4
20180103051,BURGLARY,720 ILCS 5/19-1(a),F,2
20180103051,CRIM TRESPASS TO RESIDENCE,720 ILCS 5/19-4(a),M,A
20180103051,ESCAPE/VIOLATE ELEC MONITORIN,730-5/5-8A-4.1(A),F,3
20180103056,MFG/DEL 1<15 GR HEROIN/ANALOG,720-570/401(C)(1),F,1
20180103057,AGG CRIM SX AB/>5 YR OLDER VIC,720 ILCS 5/11-1.60(d),F,2
20180103057,AGG UUW/VEH/PREV CONVICTION,720-5/24-1.6(A)(1),F,2
20180103057,ARMED VIOLENCE CATEGORY,720-5/33A-2-A,F,X
20180103057,ARMED VIOLENCE/CATEGORY I,720-5/33A-2(A),F,X
20180103057,DEL FIREARM/NO VAILD FOID,720-5/24-3-A-K,F,4
20180103057,DEL FIREARM/NO VALID FOID,720-5/24-3(A)(K),F,4
20180103057,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180103057,FELON POSS/USE WEAPON/FIREARM,720-5/24-1.1(A),F,3
20180103057,MFG/DEL 1<15 GR COCAINE/ANLG,720-570/401(C)(2),F,1
20180103057,OTHER AMT LSD,720-570/401-D-II,F,2
20180103057,OTHER AMT LSD/ANALOG,720-570/401(D)(II),F,2
20180103057,OTHER AMT NARCOTIC SCHED I&II,720-570/401(D)(I),F,2
20180103057,PCS MFG/DEL<COCAINE,720-570/401-C-2,F,1
20180103057,POSS FIREARM W/ DEFACED SER N,720-5/24-5(B),F,3
20180103057,POSS FIREARM W/DEFACED SN,720-5/24-5-B,F,3
20180103057,SALE FIREARM BEFORE 72 HOURS,720-5/24-3(A)(g),F,4
20180103057,UNLWFL SALE OF STOLEN FIREARM,720-5/24-3(A)(L),F,2
20180103057,"UUW - WEAPON - FELON, POS",720-5/24-1.1-A,F,3
20180103061,AGG UUW/VEH/PREV CONVICTION,720-5/24-1.6(A)(1),F,2
20180103061,ARMED HABITUAL CRIMINAL,720-5/24-1.7(A),F,X
20180103061,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180103063,AGG UUW/PERSON/NO FOID/2+,720-5/24-1.6-A-2,F,2
20180103063,ARMED VIOLENCE/CATEGORY I,720-5/33A-2-A,F,X
20180103063,PCS - POSSESSION - POSS AMT C,720-570/402-C,F,4
20180103068,BURGLARY,720-5/19-1(A),F,2
20180103068,CRIMINAL TRESPASS TO LAND,720-5/21-3-A-2,M,B
20180103068,CRIMINAL TRESPASS TO VEHICLES,720-5/21-2-A,M,A
20180103074,AGG UUW/VEHICLE/LOADED/NO FCC,720-5/24-1.6(A)(1),F,4
20180103074,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180103074,DOM BTRY/HARM/1-2 PRI CON,720-5/12-3.2(A)(1),F,4
20180103074,DOM BTRY/HARM/1-2 PRI CONV,720 ILCS 5/12-3.2(a)(1),F,4
20180103074,DOMESTIC BATTERY/BODILY H,720-5/12-3.2(A)(1),M,A
20180103075,DRVG UNDER INFLU/BAC 0.08,625 ILCS 5/11-501(a)(1),M,A
20180103075,POSS AMT CON SUB EXCEPT(A)/(D,720-570/402(C),F,4
20180103075,RETAIL THEFT/DISP MERCH/>$300,720-5/16-25-A-1,F,3
20180103101,AGG ASSAULT/USE DEADLY WEAPON,720-5/12-2-C-1,M,A
20180103101,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180103108,MFG/DEL 1<15 GR HEROIN/AN,720-570/401(C),F,2
20180103108,MFG/DEL 1<15 GR HEROIN/ANALOG,720 ILCS 570/401(c)(1),F,1
20180103110,AGG UUW/VEHICLE/LOADED/NO,720-5/24-1.6(A)(1),F,4
20180103110,CARRY/POSSESS FIREARM/1ST,720-5/24-1(A)(4),M,A
20180103112,CRIM DMG/GOVT PROP/>$500-$10K,720-5/21-1.01-A-1,F,3
