event_id,booking_id,bed_start_date_time,bed_assignment,facility,section,cell
bm_20160120042_2017-09-05 19:00:00,20160120042,2017-09-05 19:00:00,DIV9-2F-2232-2,Division 9,DIV9-2F,DIV9-2F-2232
bm_20170323053_2017-09-18 18:00:00,20170323053,2017-09-18 18:00:00,DIV2-D2-T-22,Division 2,DIV2-D2,DIV2-D2-T
bm_20160912204_2017-09-24 01:00:00,20160912204,2017-09-24 01:00:00,DIV8-3S-3133-1,Division 8,DIV8-3S,DIV8-3S-3133
bm_20170526132_2017-07-20 05:00:00,20170526132,2017-07-20 05:00:00,DIV08-4C-D2-7,Division 8 RTU,DIV08-4C,DIV08-4C-D2
bm_20170915114_2017-09-16 10:33:00,20170915114,2017-09-16 10:33:00,DIV08-2G-D3-14,Division 8 RTU,DIV08-2G,DIV08-2G-D3
bm_20170921011_2017-09-24 04:30:00,20170921011,2017-09-24 04:30:00,DIV 15-HP-HOSPITAL-GENERAL,Division 15,DIV15-HP,DIV15-HP-HOSPITAL
bm_20170901117_2017-09-02 15:50:00,20170901117,2017-09-02 15:50:00,DIV08-2B-D1-17,Division 8 RTU,DIV08-2B,DIV08-2B-D1
bm_20170719099_2017-07-20 20:30:00,20170719099,2017-07-20 20:30:00,DIV2-D2-T-41,Division 2,DIV2-D2,DIV2-D2-T
bm_20170901097_2017-09-01 23:30:00,20170901097,2017-09-01 23:30:00,DIV6-2B-21-1,Division 6,DIV6-2B,DIV6-2B-21
bm_20170921011_2017-09-21 23:00:00,20170921011,2017-09-21 23:00:00,DIV08-3B-D1-26,Division 8 RTU,DIV08-3B,DIV08-3B-D1
bm_20160215011_2017-09-23 00:00:00,20160215011,2017-09-23 00:00:00,DIV6-1K-2-2,Division 6,DIV6-1K,DIV6-1K-2
bm_20170917130_2017-09-18 23:00:00,20170917130,2017-09-18 23:00:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
