scenario,scenario_name,edge_case,mvpf,detainee_values,society_values,govt_cost,numerator,fel_rate,n_detainees_mult,los_days,crime_effect,det_Relative Harm Valuation (RHV),soc_Valuation of effects of detention on court appearance,soc_Incapacitation and deterrance crime effects of detention  ,gov_Total Funding for CCJ (2018),gov_Crime-related cost per crime types (F/M),det_WTP for Freedom,soc_Wrongful death damages Social cost of detainment (focusing on economic impact submeasure)
most conservative,Most Conservative Approach,Min Length of Stay,0.00021091234159524122,-399976.61665499996,518063.3858195435,559885534.7742624,118086.76916454354,0.7,1.0,1,0,,518063.3858195435,0.0,559885534.7742624,0.0,-399976.61665499996,
most conservative,Most Conservative Approach,Max Length of Stay,-0.2598270408109546,-145991465.07907498,518063.3858195435,559885534.7742624,-145473401.69325542,0.7,1.0,365,0,,518063.3858195435,0.0,559885534.7742624,0.0,-145991465.07907498,
most conservative,Most Conservative Approach,Min Crime Effect,4.5090420624905825,-27998363.16585,7108953285.891134,1570390079.4427495,7080954922.725285,0.7,1.0,70,-4,,518063.3858195435,7108435222.505315,559885534.7742624,1010504544.668487,-27998363.16585,
most conservative,Most Conservative Approach,Max Crime Effect,-6.079844462377764,-27998363.16585,-24879005215.382782,4096651441.113966,-24907003578.548634,0.7,1.0,70,14,,518063.3858195435,-24879523278.7686,559885534.7742624,3536765906.3397036,-27998363.16585,
most conservative,Most Conservative Approach,High Harm Low Crime,4.981463526693924,-291982930.15814996,20299232714.84755,4016339711.7087245,20007249784.6894,1.0,2.0,365,-4,,1036126.771639087,20298196588.07591,559885534.7742624,3456454176.934462,-291982930.15814996,
most conservative,Most Conservative Approach,Low Harm High Crime,-0.6087812123009652,-39997.661665499996,-359436371.4654302,590485320.2818292,-359476369.1270957,0.1,0.1,1,14,,51806.33858195435,-359488177.8040122,559885534.7742624,30599785.507566858,-39997.661665499996,
least conservative,Least Conservative Approach,Baseline (All Average),-39.095746978372006,-11594987590.930883,-10294155613.454178,559885534.7742624,-21889143204.385063,0.7,1.0,70,0,-11594987590.930883,518063.3858195435,0.0,559885534.7742624,0.0,,-10294673676.839998
least conservative,Least Conservative Approach,All Minimum Values,-1.6588496748613737,-16564267.987044118,-926704653.4014145,568628330.6335672,-943268921.3884586,0.1,0.1,1,-4,-16564267.987044118,51806.33858195435,102710907.94400348,559885534.7742624,8742795.859304817,,-1029467367.6839999
least conservative,Least Conservative Approach,All Maximum Values,-16.792539823605523,-120919156305.42206,-91631999285.17404,12657475154.04488,-212551155590.5961,1.0,2.0,365,14,-120919156305.42206,1036126.771639087,-71043688058.26569,559885534.7742624,12097589619.270617,,-20589347353.679996
least conservative,Least Conservative Approach,Min Felony Rate,-39.095746978372006,-11594987590.930883,-10294155613.454178,559885534.7742624,-21889143204.385063,0.1,1.0,70,0,-11594987590.930883,518063.3858195435,0.0,559885534.7742624,0.0,,-10294673676.839998
least conservative,Least Conservative Approach,Max Felony Rate,-39.095746978372006,-11594987590.930883,-10294155613.454178,559885534.7742624,-21889143204.385063,1.0,1.0,70,0,-11594987590.930883,518063.3858195435,0.0,559885534.7742624,0.0,,-10294673676.839998
least conservative,Least Conservative Approach,Min Detainee Population,-3.9095746978372,-1159498759.0930882,-1029415561.345418,559885534.7742624,-2188914320.438506,0.7,0.1,70,0,-1159498759.0930882,51806.33858195435,0.0,559885534.7742624,0.0,,-1029467367.6839999
least conservative,Least Conservative Approach,Max Detainee Population,-78.19149395674401,-23189975181.861767,-20588311226.908356,559885534.7742624,-43778286408.77013,0.7,2.0,70,0,-23189975181.861767,1036126.771639087,0.0,559885534.7742624,0.0,,-20589347353.679996
least conservative,Least Conservative Approach,Min Length of Stay,-18.6820298858799,-165642679.87044117,-10294155613.454178,559885534.7742624,-10459798293.32462,0.7,1.0,1,0,-165642679.87044117,518063.3858195435,0.0,559885534.7742624,0.0,,-10294673676.839998
least conservative,Least Conservative Approach,Max Length of Stay,-126.3717838230846,-60459578152.71103,-10294155613.454178,559885534.7742624,-70753733766.1652,0.7,1.0,365,0,-60459578152.71103,518063.3858195435,0.0,559885534.7742624,0.0,,-10294673676.839998
least conservative,Least Conservative Approach,Min Crime Effect,-9.412125162637716,-11594987590.930883,-3185720390.948863,1570390079.4427495,-14780707981.879745,0.7,1.0,70,-4,-11594987590.930883,518063.3858195435,7108435222.505315,559885534.7742624,1010504544.668487,,-10294673676.839998
least conservative,Least Conservative Approach,Max Crime Effect,-11.416315777755376,-11594987590.930883,-35173678892.22278,4096651441.113966,-46768666483.15366,0.7,1.0,70,14,-11594987590.930883,518063.3858195435,-24879523278.7686,559885534.7742624,3536765906.3397036,,-10294673676.839998
least conservative,Least Conservative Approach,High Harm Low Crime,-30.179038538721326,-120919156305.42206,-290114638.83244705,4016339711.7087245,-121209270944.2545,1.0,2.0,365,-4,-120919156305.42206,1036126.771639087,20298196588.07591,559885534.7742624,3456454176.934462,,-20589347353.679996
least conservative,Least Conservative Approach,Low Harm High Crime,-2.3801912746377285,-16564267.987044118,-1388903739.1494303,590485320.2818292,-1405468007.1364744,0.1,0.1,1,14,-16564267.987044118,51806.33858195435,-359488177.8040122,559885534.7742624,30599785.507566858,,-1029467367.6839999
